1952	3.1	2.2	32	86.2
1956	3.9	0.1	67	100.2
1960	4.8	1.4	57	90.1
1964	5.4	1.4	73	99.9
1968	3.8	3.6	41	91.7
1972	5.7	3.8	56	90.7
1976	7.7	6.3	45	87.0
1980	6.3	14.2	37	76.7
1984	7.8	4.7	58	95.7
1988	5.7	3.9	53	93.0
1992	7.4	2.8	37	85.3
1996	5.5	2.7	54	99.2
2000	4.1	3.2	56	107.6
2004	5.6	1.7	47	92.8
2008	4.9	4.1	31	55.3
2012	8.3	2.9	51	82.7
2016	4.9	1.0	50	91.7
